depth,sector,condition,rg_similarity,shock_absorption_index,cascade_suppression,recovery_coherence,redistribution_efficiency,equilibrium_resilience,self_healing_persistence,classification
6,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.7596,0.7477,0.7513,0.7334,0.7268,0.7182,0.7636,RESILIENCE-BOUNDED
8,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.7151,0.7136,0.7022,0.6877,0.6918,0.6657,0.7118,RESILIENCE-BOUNDED
12,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.6737,0.6616,0.6513,0.6365,0.618,0.6185,0.6591,RESILIENCE-BOUNDED
16,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.6193,0.5953,0.5801,0.5841,0.5751,0.5631,0.6001,RESILIENCE-PARTIAL
20,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.557,0.5442,0.5565,0.5564,0.5319,0.5236,0.5395,RESILIENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.5295,0.5218,0.5015,0.5135,0.4997,0.4968,0.5111,RESILIENCE-DEGRADING
32,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.4583,0.4406,0.4378,0.4435,0.4383,0.4244,0.4442,RESILIENCE-DEGRADING
40,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.4171,0.4077,0.4055,0.3955,0.379,0.3858,0.3946,RESILIENCE-DEGRADING
48,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.3771,0.3662,0.3525,0.3512,0.3548,0.3449,0.3593,RESILIENCE-FAILED
64,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.3051,0.3059,0.2982,0.3026,0.2879,0.2902,0.2981,RESILIENCE-FAILED
80,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.267,0.2628,0.2629,0.2623,0.2507,0.2458,0.2608,RESILIENCE-FAILED
96,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.2341,0.227,0.2289,0.22,0.2221,0.2223,0.2323,RESILIENCE-FAILED
128,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.1853,0.1857,0.1809,0.1797,0.1788,0.1754,0.1797,RESILIENCE-FAILED
160,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.1539,0.1556,0.1497,0.148,0.1475,0.1436,0.1542,RESILIENCE-FAILED
192,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.1312,0.132,0.1291,0.1284,0.1255,0.1262,0.133,RESILIENCE-FAILED
256,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.1063,0.1042,0.1004,0.0991,0.1001,0.0956,0.1032,RESILIENCE-FAILED
320,Projection-Antisymmetry-Neutral,RecursiveSelfHealingDynamics,0.0848,0.0854,0.083,0.0842,0.0788,0.0778,0.0833,RESILIENCE-FAILED
1,Projection-Antisymmetry-Neutral,NullResilienceControl,0.6831,0.695,0.6644,0.6679,0.6705,0.6511,0.6658,RESILIENCE-BOUNDED
2,Projection-Antisymmetry-Neutral,NullResilienceControl,0.6679,0.6533,0.6638,0.6533,0.6527,0.616,0.6441,RESILIENCE-BOUNDED
4,Projection-Antisymmetry-Neutral,NullResilienceControl,0.6201,0.6312,0.6171,0.6375,0.6071,0.59,0.6016,RESILIENCE-PARTIAL
6,Projection-Antisymmetry-Neutral,NullResilienceControl,0.5902,0.5883,0.5919,0.6093,0.5609,0.5661,0.5716,RESILIENCE-PARTIAL
8,Projection-Antisymmetry-Neutral,NullResilienceControl,0.5721,0.583,0.5661,0.562,0.5328,0.5265,0.551,RESILIENCE-PARTIAL
12,Projection-Antisymmetry-Neutral,NullResilienceControl,0.5318,0.5089,0.5087,0.5124,0.4962,0.4814,0.4975,RESILIENCE-DEGRADING
16,Projection-Antisymmetry-Neutral,NullResilienceControl,0.4955,0.4848,0.4769,0.4677,0.4498,0.4461,0.4542,RESILIENCE-DEGRADING
20,Projection-Antisymmetry-Neutral,NullResilienceControl,0.4345,0.4381,0.4433,0.4412,0.4311,0.4151,0.4319,RESILIENCE-DEGRADING
24,Projection-Antisymmetry-Neutral,NullResilienceControl,0.4196,0.4064,0.4049,0.4048,0.3895,0.3814,0.4064,RESILIENCE-DEGRADING
32,Projection-Antisymmetry-Neutral,NullResilienceControl,0.3737,0.3569,0.3463,0.3654,0.353,0.3424,0.352,RESILIENCE-FAILED
40,Projection-Antisymmetry-Neutral,NullResilienceControl,0.3294,0.3218,0.3262,0.3178,0.3098,0.3074,0.3097,RESILIENCE-FAILED
48,Projection-Antisymmetry-Neutral,NullResilienceControl,0.2887,0.2914,0.2894,0.2907,0.2857,0.2747,0.2875,RESILIENCE-FAILED
64,Projection-Antisymmetry-Neutral,NullResilienceControl,0.2412,0.2481,0.2397,0.2394,0.2329,0.2246,0.2304,RESILIENCE-FAILED
80,Projection-Antisymmetry-Neutral,NullResilienceControl,0.212,0.2034,0.2003,0.2064,0.1933,0.1913,0.199,RESILIENCE-FAILED
96,Projection-Antisymmetry-Neutral,NullResilienceControl,0.1791,0.1807,0.1762,0.1805,0.1699,0.1722,0.179,RESILIENCE-FAILED
128,Projection-Antisymmetry-Neutral,NullResilienceControl,0.1491,0.1472,0.143,0.1435,0.1439,0.1367,0.1403,RESILIENCE-FAILED
160,Projection-Antisymmetry-Neutral,NullResilienceControl,0.1254,0.1245,0.1214,0.1241,0.1148,0.1159,0.1201,RESILIENCE-FAILED
192,Projection-Antisymmetry-Neutral,NullResilienceControl,0.1032,0.1041,0.1005,0.1042,0.1013,0.098,0.1042,RESILIENCE-FAILED
256,Projection-Antisymmetry-Neutral,NullResilienceControl,0.0804,0.0811,0.0785,0.0823,0.0778,0.0768,0.0779,RESILIENCE-FAILED
320,Projection-Antisymmetry-Neutral,NullResilienceControl,0.0678,0.066,0.0641,0.0669,0.0651,0.0628,0.066,RESILIENCE-FAILED
