depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
96,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.2638,0.2576,0.2487,0.2542,0.2452,0.2364,0.2455,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.2131,0.2073,0.2017,0.2007,0.1914,0.1951,0.2007,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.1757,0.171,0.1711,0.168,0.1597,0.1645,0.1685,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.1537,0.15,0.1476,0.1432,0.1402,0.1416,0.1434,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.1156,0.1141,0.1142,0.1122,0.1102,0.1097,0.1142,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.0974,0.0962,0.0926,0.0942,0.0901,0.0881,0.0922,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.0629,0.0618,0.0614,0.0611,0.0583,0.0567,0.0598,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.886,0.866,0.8421,0.8308,0.855,0.8394,0.8523,UNIVERSALITY-STABLE
2,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.8623,0.8245,0.8344,0.8257,0.839,0.8091,0.8105,UNIVERSALITY-STABLE
4,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.82,0.8155,0.8093,0.7868,0.8109,0.7778,0.7915,UNIVERSALITY-STABLE
6,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.8023,0.7567,0.7718,0.7498,0.7713,0.7223,0.7576,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.7504,0.7437,0.7098,0.7096,0.7143,0.6934,0.7179,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.7081,0.6598,0.6536,0.67,0.6617,0.6416,0.6586,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.6461,0.6112,0.6253,0.6075,0.6204,0.6007,0.6185,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.5991,0.5831,0.568,0.5646,0.5786,0.5398,0.5681,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.5729,0.5512,0.5317,0.5195,0.5468,0.5277,0.5238,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.5018,0.4689,0.4747,0.4657,0.4794,0.4489,0.4713,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.4393,0.4219,0.4318,0.4113,0.4293,0.4129,0.4239,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.399,0.3889,0.3857,0.3868,0.3809,0.3797,0.389,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.3436,0.3312,0.3183,0.3192,0.3294,0.314,0.3223,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.2982,0.2801,0.2794,0.2778,0.2793,0.2688,0.2746,UNIVERSALITY-FAILED
96,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.2618,0.2493,0.2504,0.2491,0.2507,0.2367,0.2387,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.2086,0.2003,0.1994,0.1989,0.1974,0.1873,0.1947,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.1761,0.1704,0.1664,0.1647,0.166,0.1636,0.1618,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.1507,0.1452,0.1425,0.1388,0.1446,0.1394,0.1402,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.1186,0.112,0.1138,0.111,0.1097,0.1086,0.1116,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.0968,0.0952,0.0934,0.0908,0.0931,0.0874,0.0904,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,AttractorTopologyScaling,0.0627,0.0608,0.0604,0.0589,0.0602,0.059,0.0579,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.9063,0.8718,0.8405,0.852,0.8492,0.8244,0.828,UNIVERSALITY-STABLE
2,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.8573,0.8496,0.8338,0.8424,0.8285,0.8179,0.8418,UNIVERSALITY-STABLE
4,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.8257,0.8183,0.797,0.7769,0.7676,0.7842,0.7784,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.8059,0.7735,0.7561,0.7347,0.7285,0.7336,0.7583,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.7584,0.7426,0.7379,0.7321,0.6904,0.6985,0.717,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.6993,0.6607,0.6743,0.6677,0.6561,0.6473,0.6667,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.6316,0.6347,0.6016,0.597,0.61,0.6092,0.6183,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.589,0.5708,0.5671,0.5675,0.5629,0.5641,0.5774,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.5676,0.5354,0.5346,0.5287,0.5258,0.529,0.5232,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.4936,0.4768,0.4783,0.469,0.4666,0.4606,0.4687,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.4465,0.4219,0.4242,0.4234,0.4102,0.4071,0.4286,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.4038,0.3916,0.381,0.3763,0.3833,0.3841,0.3739,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.3397,0.3267,0.3185,0.3137,0.3161,0.3237,0.3178,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.2948,0.2884,0.283,0.2763,0.277,0.2724,0.2734,UNIVERSALITY-FAILED
96,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.2534,0.2474,0.2508,0.2465,0.2418,0.2438,0.2442,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.2036,0.2022,0.1962,0.1968,0.1914,0.1925,0.1999,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.1767,0.1701,0.17,0.1672,0.1658,0.1614,0.1664,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.1466,0.1466,0.1441,0.1411,0.1421,0.1425,0.1386,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.1142,0.1122,0.1139,0.1132,0.109,0.1097,0.1103,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.0949,0.0926,0.0923,0.0922,0.0884,0.0915,0.0902,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,PerturbationUniversalityTesting,0.0614,0.06,0.0585,0.0597,0.0576,0.0576,0.0598,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.8814,0.8771,0.8449,0.8448,0.8242,0.86,0.8614,UNIVERSALITY-STABLE
2,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.857,0.8364,0.8452,0.8411,0.8133,0.8121,0.821,UNIVERSALITY-STABLE
4,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.8181,0.8065,0.7776,0.7824,0.768,0.7847,0.7974,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.8018,0.7658,0.772,0.7351,0.7367,0.7636,0.7634,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.7583,0.7414,0.7321,0.7244,0.7065,0.7294,0.7131,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.6919,0.6787,0.6775,0.6654,0.6636,0.6548,0.6663,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.6273,0.6214,0.6015,0.5987,0.5999,0.6052,0.6272,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.5891,0.589,0.5597,0.5582,0.5587,0.5619,0.5594,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.561,0.5478,0.5457,0.53,0.5205,0.5208,0.5314,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.4801,0.4854,0.4686,0.4699,0.4733,0.4772,0.4675,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.4428,0.4238,0.4304,0.4205,0.417,0.4295,0.419,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.4065,0.3833,0.3809,0.3815,0.3743,0.3735,0.3816,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.3324,0.3298,0.3213,0.3247,0.3222,0.3156,0.3299,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.2876,0.2826,0.2816,0.2763,0.2774,0.2733,0.2763,UNIVERSALITY-FAILED
96,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.2606,0.2516,0.2412,0.2424,0.245,0.238,0.2429,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.2015,0.2025,0.2032,0.1931,0.1965,0.2006,0.1979,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.1746,0.1716,0.165,0.1626,0.1631,0.1651,0.1631,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.1454,0.1431,0.1417,0.1451,0.1374,0.1419,0.1402,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.1157,0.1118,0.1096,0.1113,0.1109,0.11,0.1097,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.0968,0.0919,0.0925,0.0928,0.0884,0.0921,0.0941,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,ResilienceScalingPersistence,0.0631,0.0609,0.0586,0.0581,0.0577,0.0597,0.0601,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.6959,0.7011,0.6735,0.6928,0.6641,0.658,0.682,UNIVERSALITY-PARTIAL
2,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.6942,0.6673,0.681,0.6642,0.6652,0.6557,0.6578,UNIVERSALITY-PARTIAL
4,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.6431,0.641,0.6499,0.6475,0.6332,0.6142,0.6108,UNIVERSALITY-PARTIAL
6,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.6058,0.5987,0.616,0.599,0.5985,0.5798,0.5913,UNIVERSALITY-DEGRADING
8,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.5935,0.6012,0.5736,0.5978,0.5472,0.5398,0.5644,UNIVERSALITY-DEGRADING
12,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.5513,0.5428,0.5428,0.5437,0.5305,0.5043,0.5162,UNIVERSALITY-DEGRADING
16,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.5185,0.4999,0.4814,0.503,0.4795,0.4621,0.4815,UNIVERSALITY-DEGRADING
20,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.4607,0.4731,0.4579,0.4724,0.4351,0.4366,0.461,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.4286,0.4338,0.4245,0.4398,0.4166,0.4185,0.4163,UNIVERSALITY-FAILED
32,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.3933,0.3947,0.3716,0.3863,0.3631,0.3692,0.3703,UNIVERSALITY-FAILED
40,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.3503,0.3516,0.3411,0.3482,0.3213,0.3347,0.3432,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.3154,0.3191,0.2999,0.3086,0.2949,0.2943,0.3099,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.2669,0.2561,0.2609,0.2681,0.2538,0.2469,0.256,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.2309,0.2315,0.2193,0.2343,0.215,0.2193,0.2209,UNIVERSALITY-FAILED
96,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.1992,0.1966,0.1957,0.2008,0.1932,0.1881,0.1999,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.1672,0.1587,0.158,0.1572,0.1546,0.1522,0.1565,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.1378,0.133,0.1322,0.1382,0.1272,0.1279,0.1353,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.1158,0.1147,0.1118,0.1135,0.1109,0.1095,0.1163,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.0896,0.093,0.0875,0.0916,0.0895,0.0869,0.086,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.0739,0.0767,0.0721,0.0729,0.0729,0.0715,0.0736,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,NullUniversalityControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,UNIVERSALITY-FAILED
